GenreId,Genre
1,Action
2,Adult Animation
3,Adventure
4,Animated Sitcom
5,Comedy
6,Comedy Drama
7,Crime
8,Crime Drama
9,Cringe Comedy
10,Dark Humor
11,Drama
12,Fantasy
13,Horror
14,Legal Drama
15,Mockumentary
16,Mystery
17,Neo-Western
18,Occult Detective Fiction
19,Police Procedural
20,Political Satire
21,Romantic Comedy
22,Satire
23,Science Fiction
24,Serial Drama
25,Sitcom
26,Superhero
27,Supernatural Fiction
28,Surreal Humor
29,Survival
30,Thriller
31,Tragedy
32,Workplace Comedy
33,Zombie Apocalypse
